"","Industry","Date","Group","Count","Percent_rate_of_change"
"1","Construction",2011-01-01,"All",5427,NA
"2","Construction",2011-02-01,"All",5451,0.442233278054174
"3","Construction",2011-03-01,"All",5477,0.476976701522656
"4","Construction",2011-04-01,"All",5485,0.146065364250502
"5","Construction",2011-05-01,"All",5516,0.56517775752051
"6","Construction",2011-06-01,"All",5528,0.217548948513416
"7","Construction",2011-07-01,"All",5547,0.34370477568741
"8","Construction",2011-08-01,"All",5552,0.0901388137732107
"9","Construction",2011-09-01,"All",5584,0.576368876080692
"10","Construction",2011-10-01,"All",5588,0.0716332378223496
"11","Construction",2011-11-01,"All",5593,0.0894774516821761
"12","Construction",2011-12-01,"All",5611,0.321830860003576
"13","Construction",2012-01-01,"All",5626,0.26733202637676
"14","Construction",2012-02-01,"All",5629,0.053323853537149
"15","Construction",2012-03-01,"All",5625,-0.07106057914372
"16","Construction",2012-04-01,"All",5618,-0.124444444444444
"17","Construction",2012-05-01,"All",5604,-0.249199003203987
"18","Construction",2012-06-01,"All",5621,0.303354746609565
"19","Construction",2012-07-01,"All",5632,0.195694716242661
"20","Construction",2012-08-01,"All",5648,0.284090909090909
"21","Construction",2012-09-01,"All",5661,0.230169971671388
"22","Construction",2012-10-01,"All",5674,0.229641406111994
"23","Construction",2012-11-01,"All",5684,0.176242509693338
"24","Construction",2012-12-01,"All",5724,0.703729767769177
"25","Construction",2013-01-01,"All",5746,0.384346610761705
"26","Construction",2013-02-01,"All",5784,0.661329620605639
"27","Construction",2013-03-01,"All",5802,0.311203319502075
"28","Construction",2013-04-01,"All",5796,-0.103412616339193
"29","Construction",2013-05-01,"All",5829,0.56935817805383
"30","Construction",2013-06-01,"All",5855,0.446045633899468
"31","Construction",2013-07-01,"All",5859,0.0683176771989752
"32","Construction",2013-08-01,"All",5878,0.324287421061615
"33","Construction",2013-09-01,"All",5910,0.544402858115005
"34","Construction",2013-10-01,"All",5931,0.355329949238579
"35","Construction",2013-11-01,"All",5963,0.539538020569887
"36","Construction",2013-12-01,"All",5932,-0.519872547375482
"37","Construction",2014-01-01,"All",5985,0.893459204315577
"38","Construction",2014-02-01,"All",6007,0.367585630743525
"39","Construction",2014-03-01,"All",6038,0.516064591310138
"40","Construction",2014-04-01,"All",6084,0.761841669426963
"41","Construction",2014-05-01,"All",6109,0.410913872452334
"42","Construction",2014-06-01,"All",6133,0.392862989032575
"43","Construction",2014-07-01,"All",6178,0.733735529104843
"44","Construction",2014-08-01,"All",6210,0.51796697960505
"45","Construction",2014-09-01,"All",6242,0.515297906602254
"46","Construction",2014-10-01,"All",6259,0.272348606215956
"47","Construction",2014-11-01,"All",6272,0.207700910688608
"48","Construction",2014-12-01,"All",6293,0.334821428571429
"49","Construction",2015-01-01,"All",6320,0.429048148736692
"50","Construction",2015-02-01,"All",6361,0.64873417721519
"51","Construction",2015-03-01,"All",6334,-0.424461562647382
"52","Construction",2015-04-01,"All",6392,0.915693084938427
"53","Construction",2015-05-01,"All",6427,0.54755944931164
"54","Construction",2015-06-01,"All",6441,0.217831025361755
"55","Construction",2015-07-01,"All",6472,0.48129172488744
"56","Construction",2015-08-01,"All",6490,0.278121137206428
"57","Construction",2015-09-01,"All",6508,0.277349768875193
"58","Construction",2015-10-01,"All",6547,0.599262446220037
"59","Construction",2015-11-01,"All",6598,0.778982740186345
"60","Construction",2015-12-01,"All",6630,0.484995453167627
"61","Construction",2016-01-01,"All",6631,0.0150829562594268
"62","Construction",2016-02-01,"All",6640,0.135726134821294
"63","Construction",2016-03-01,"All",6678,0.572289156626506
"64","Construction",2016-04-01,"All",6702,0.359389038634322
"65","Construction",2016-05-01,"All",6689,-0.193971948672038
"66","Construction",2016-06-01,"All",6701,0.179399013305427
"67","Construction",2016-07-01,"All",6735,0.507386957170572
"68","Construction",2016-08-01,"All",6736,0.0148478099480327
"69","Construction",2016-09-01,"All",6768,0.475059382422803
"70","Construction",2016-10-01,"All",6799,0.458037825059102
"71","Construction",2016-11-01,"All",6823,0.352993087218709
"72","Construction",2016-12-01,"All",6818,-0.0732815477062876
"73","Construction",2017-01-01,"All",6839,0.308008213552361
"74","Construction",2017-02-01,"All",6886,0.687234975873666
"75","Construction",2017-03-01,"All",6907,0.304966598896311
"76","Construction",2017-04-01,"All",6917,0.144780657304184
"77","Construction",2017-05-01,"All",6926,0.130114211363308
"78","Construction",2017-06-01,"All",6954,0.404273751082876
"79","Construction",2017-07-01,"All",6958,0.0575208513085994
"80","Construction",2017-08-01,"All",6989,0.445530324805979
"81","Construction",2017-09-01,"All",7003,0.200314780369152
"82","Construction",2017-10-01,"All",7029,0.371269455947451
"83","Construction",2017-11-01,"All",7072,0.611751315976668
"84","Construction",2017-12-01,"All",7104,0.452488687782805
"85","Construction",2018-01-01,"All",7107,0.0422297297297297
"86","Construction",2018-02-01,"All",7194,1.22414520894892
