Industry,Percent,Count
"Agriculture, forestry, fishing, and hunting",27.7,"2,349"
"Mining, quarrying, and oil and gas extraction",14.5,684
Construction,10.9,"10,786"
Manufacturing,29.5,"14,550"
Wholesale and retail trade,44,"18,989"
Transportation and Utilities,24.1,"8,552"
Information,40.5,"2,594"
Financial Activities,51.9,"10,646"
Professional and business services,41.4,"18,816"
Education and health services,74.6,"34,105"
Leisure and Hospitality,50.4,"11,480"
Other services,52.6,"6,742"
Public administration,46.4,"7,501"
