Month,Year,Industry,Count
Apr,2011,Goods-producing,91461
Apr,2012,Goods-producing,93519
Apr,2013,Goods-producing,95349
Apr,2014,Goods-producing,97336
Apr,2015,Goods-producing,99636
Apr,2016,Goods-producing,101935
Apr,2017,Goods-producing,103826
Apr,2018,Goods-producing,105396
Apr,2019,Goods-producing,106886
Apr,2020,Goods-producing,89764
Apr,2021,Goods-producing,102422
Aug,2011,Goods-producing,91988
Aug,2012,Goods-producing,93956
Aug,2013,Goods-producing,96041
Aug,2014,Goods-producing,98086
Aug,2015,Goods-producing,100437
Aug,2016,Goods-producing,102649
Aug,2017,Goods-producing,104420
Aug,2018,Goods-producing,105986
Aug,2019,Goods-producing,107400
Aug,2020,Goods-producing,99196
Aug,2021,Goods-producing,104764
Dec,2011,Goods-producing,92698
Dec,2012,Goods-producing,94653
Dec,2013,Goods-producing,96672
Dec,2014,Goods-producing,98949
Dec,2015,Goods-producing,101262
Dec,2016,Goods-producing,103289
Dec,2017,Goods-producing,104859
Dec,2018,Goods-producing,106432
Dec,2019,Goods-producing,108130
Dec,2020,Goods-producing,100819
Feb,2011,Goods-producing,90994
Feb,2012,Goods-producing,93231
Feb,2013,Goods-producing,95022
Feb,2014,Goods-producing,96901
Feb,2015,Goods-producing,99324
Feb,2016,Goods-producing,101563
Feb,2017,Goods-producing,103551
Feb,2018,Goods-producing,105163
Feb,2019,Goods-producing,106612
Feb,2020,Goods-producing,108551
Feb,2021,Goods-producing,101590
Jan,2011,Goods-producing,90799
Jan,2012,Goods-producing,93000
Jan,2013,Goods-producing,94814
Jan,2014,Goods-producing,96797
Jan,2015,Goods-producing,99108
Jan,2016,Goods-producing,101345
Jan,2017,Goods-producing,103449
Jan,2018,Goods-producing,104942
Jan,2019,Goods-producing,106608
Jan,2020,Goods-producing,108349
Jan,2021,Goods-producing,100948
July,2011,Goods-producing,91856
July,2012,Goods-producing,93799
July,2013,Goods-producing,95866
July,2014,Goods-producing,97904
July,2015,Goods-producing,100325
July,2016,Goods-producing,102474
July,2017,Goods-producing,104315
July,2018,Goods-producing,105826
July,2019,Goods-producing,107256
July,2020,Goods-producing,98183
July,2021,Goods-producing,104469
June,2011,Goods-producing,91730
June,2012,Goods-producing,93666
June,2013,Goods-producing,95710
June,2014,Goods-producing,97747
June,2015,Goods-producing,100093
June,2016,Goods-producing,102263
June,2017,Goods-producing,104114
June,2018,Goods-producing,105729
June,2019,Goods-producing,107103
June,2020,Goods-producing,96720
June,2021,Goods-producing,103727
Mar,2011,Goods-producing,91190
Mar,2012,Goods-producing,93437
Mar,2013,Goods-producing,95150
Mar,2014,Goods-producing,97098
Mar,2015,Goods-producing,99435
Mar,2016,Goods-producing,101765
Mar,2017,Goods-producing,103650
Mar,2018,Goods-producing,105314
Mar,2019,Goods-producing,106734
Mar,2020,Goods-producing,107117
Mar,2021,Goods-producing,102155
May,2011,Goods-producing,91567
May,2012,Goods-producing,93637
May,2013,Goods-producing,95538
May,2014,Goods-producing,97537
May,2015,Goods-producing,99933
May,2016,Goods-producing,102006
May,2017,Goods-producing,103956
May,2018,Goods-producing,105591
May,2019,Goods-producing,106956
May,2020,Goods-producing,92418
May,2021,Goods-producing,102961
Nov,2011,Goods-producing,92536
Nov,2012,Goods-producing,94473
Nov,2013,Goods-producing,96550
Nov,2014,Goods-producing,98721
Nov,2015,Goods-producing,101032
Nov,2016,Goods-producing,103112
Nov,2017,Goods-producing,104748
Nov,2018,Goods-producing,106290
Nov,2019,Goods-producing,107971
Nov,2020,Goods-producing,101175
Oct,2011,Goods-producing,92376
Oct,2012,Goods-producing,94302
Oct,2013,Goods-producing,96353
Oct,2014,Goods-producing,98482
Oct,2015,Goods-producing,100851
Oct,2016,Goods-producing,102988
Oct,2017,Goods-producing,104634
Oct,2018,Goods-producing,106197
Oct,2019,Goods-producing,107800
Oct,2020,Goods-producing,100884
Sep,2011,Goods-producing,92208
Sep,2012,Goods-producing,94132
Sep,2013,Goods-producing,96170
Sep,2014,Goods-producing,98298
Sep,2015,Goods-producing,100600
Sep,2016,Goods-producing,102870
Sep,2017,Goods-producing,104422
Sep,2018,Goods-producing,106036
Sep,2019,Goods-producing,107583
Sep,2020,Goods-producing,100037
Sep,2021,Goods-producing,105029
Apr,2011,Service-providing,113645
Apr,2012,Service-providing,115450
Apr,2013,Service-providing,117218
Apr,2014,Service-providing,119189
Apr,2015,Service-providing,121641
Apr,2016,Service-providing,124119
Apr,2017,Service-providing,126164
Apr,2018,Service-providing,127816
Apr,2019,Service-providing,129449
Apr,2020,Service-providing,111590
Apr,2021,Service-providing,124007
Aug,2011,Service-providing,114005
Aug,2012,Service-providing,115872
Aug,2013,Service-providing,117872
Aug,2014,Service-providing,119941
Aug,2015,Service-providing,122497
Aug,2016,Service-providing,124933
Aug,2017,Service-providing,126791
Aug,2018,Service-providing,128471
Aug,2019,Service-providing,130063
Aug,2020,Service-providing,121269
Aug,2021,Service-providing,126871
Dec,2011,Service-providing,114652
Dec,2012,Service-providing,116540
Dec,2013,Service-providing,118492
Dec,2014,Service-providing,120896
Dec,2015,Service-providing,123359
Dec,2016,Service-providing,125593
Dec,2017,Service-providing,127254
Dec,2018,Service-providing,128948
Dec,2019,Service-providing,130859
Dec,2020,Service-providing,122275
Feb,2011,Service-providing,113209
Feb,2012,Service-providing,115178
Feb,2013,Service-providing,116903
Feb,2014,Service-providing,118726
Feb,2015,Service-providing,121302
Feb,2016,Service-providing,123701
Feb,2017,Service-providing,125871
Feb,2018,Service-providing,127560
Feb,2019,Service-providing,129109
Feb,2020,Service-providing,131386
Feb,2021,Service-providing,123071
Jan,2011,Service-providing,113057
Jan,2012,Service-providing,114946
Jan,2013,Service-providing,116683
Jan,2014,Service-providing,118611
Jan,2015,Service-providing,121068
Jan,2016,Service-providing,123459
Jan,2017,Service-providing,125757
Jan,2018,Service-providing,127306
Jan,2019,Service-providing,129125
Jan,2020,Service-providing,131138
Jan,2021,Service-providing,122515
July,2011,Service-providing,113905
July,2012,Service-providing,115712
July,2013,Service-providing,117681
July,2014,Service-providing,119805
July,2015,Service-providing,122375
July,2016,Service-providing,124763
July,2017,Service-providing,126678
July,2018,Service-providing,128290
July,2019,Service-providing,129863
July,2020,Service-providing,119739
July,2021,Service-providing,126542
June,2011,Service-providing,113894
June,2012,Service-providing,115596
June,2013,Service-providing,117550
June,2014,Service-providing,119642
June,2015,Service-providing,122108
June,2016,Service-providing,124443
June,2017,Service-providing,126457
June,2018,Service-providing,128186
June,2019,Service-providing,129665
June,2020,Service-providing,118073
June,2021,Service-providing,125525
Mar,2011,Service-providing,113382
Mar,2012,Service-providing,115380
Mar,2013,Service-providing,117020
Mar,2014,Service-providing,118931
Mar,2015,Service-providing,121405
Mar,2016,Service-providing,123943
Mar,2017,Service-providing,125975
Mar,2018,Service-providing,127717
Mar,2019,Service-providing,129258
Mar,2020,Service-providing,129891
Mar,2021,Service-providing,123697
May,2011,Service-providing,113696
May,2012,Service-providing,115548
May,2013,Service-providing,117402
May,2014,Service-providing,119369
May,2015,Service-providing,121945
May,2016,Service-providing,124205
May,2017,Service-providing,126290
May,2018,Service-providing,128023
May,2019,Service-providing,129512
May,2020,Service-providing,113732
May,2021,Service-providing,124605
Nov,2011,Service-providing,114507
Nov,2012,Service-providing,116356
Nov,2013,Service-providing,118393
Nov,2014,Service-providing,120653
Nov,2015,Service-providing,123113
Nov,2016,Service-providing,125389
Nov,2017,Service-providing,127137
Nov,2018,Service-providing,128767
Nov,2019,Service-providing,130687
Nov,2020,Service-providing,122663
Oct,2011,Service-providing,114374
Oct,2012,Service-providing,116205
Oct,2013,Service-providing,118183
Oct,2014,Service-providing,120399
Oct,2015,Service-providing,122907
Oct,2016,Service-providing,125283
Oct,2017,Service-providing,127008
Oct,2018,Service-providing,128691
Oct,2019,Service-providing,130492
Oct,2020,Service-providing,122467
Sep,2011,Service-providing,114191
Sep,2012,Service-providing,116057
Sep,2013,Service-providing,118005
Sep,2014,Service-providing,120195
Sep,2015,Service-providing,122640
Sep,2016,Service-providing,125193
Sep,2017,Service-providing,126808
Sep,2018,Service-providing,128530
Sep,2019,Service-providing,130273
Sep,2020,Service-providing,121894
Sep,2021,Service-providing,127013
Apr,2011,Private service-providing,17957
Apr,2012,Private service-providing,18384
Apr,2013,Private service-providing,18653
Apr,2014,Private service-providing,19104
Apr,2015,Private service-providing,19553
Apr,2016,Private service-providing,19732
Apr,2017,Private service-providing,19990
Apr,2018,Private service-providing,20581
Apr,2019,Private service-providing,21033
Apr,2020,Private service-providing,18571
Apr,2021,Private service-providing,20319
Aug,2011,Private service-providing,18120
Aug,2012,Private service-providing,18459
Aug,2013,Private service-providing,18756
Aug,2014,Private service-providing,19316
Aug,2015,Private service-providing,19629
Aug,2016,Private service-providing,19731
Aug,2017,Private service-providing,20133
Aug,2018,Private service-providing,20788
Aug,2019,Private service-providing,21045
Aug,2020,Private service-providing,19880
Aug,2021,Private service-providing,20488
Dec,2011,Private service-providing,18244
Dec,2012,Private service-providing,18532
Dec,2013,Private service-providing,18881
Dec,2014,Private service-providing,19481
Dec,2015,Private service-providing,19738
Dec,2016,Private service-providing,19822
Dec,2017,Private service-providing,20336
Dec,2018,Private service-providing,20960
Dec,2019,Private service-providing,21060
Dec,2020,Private service-providing,20228
Feb,2011,Private service-providing,17844
Feb,2012,Private service-providing,18334
Feb,2013,Private service-providing,18638
Feb,2014,Private service-providing,18988
Feb,2015,Private service-providing,19537
Feb,2016,Private service-providing,19716
Feb,2017,Private service-providing,19924
Feb,2018,Private service-providing,20489
Feb,2019,Private service-providing,20986
Feb,2020,Private service-providing,21137
Feb,2021,Private service-providing,20201
Jan,2011,Private service-providing,17784
Jan,2012,Private service-providing,18304
Jan,2013,Private service-providing,18580
Jan,2014,Private service-providing,18937
Jan,2015,Private service-providing,19500
Jan,2016,Private service-providing,19746
Jan,2017,Private service-providing,19855
Jan,2018,Private service-providing,20365
Jan,2019,Private service-providing,21020
Jan,2020,Private service-providing,21096
Jan,2021,Private service-providing,20221
July,2011,Private service-providing,18094
July,2012,Private service-providing,18447
July,2013,Private service-providing,18705
July,2014,Private service-providing,19264
July,2015,Private service-providing,19626
July,2016,Private service-providing,19758
July,2017,Private service-providing,20056
July,2018,Private service-providing,20740
July,2019,Private service-providing,21050
July,2020,Private service-providing,19827
July,2021,Private service-providing,20451
June,2011,Private service-providing,18045
June,2012,Private service-providing,18411
June,2013,Private service-providing,18724
June,2014,Private service-providing,19195
June,2015,Private service-providing,19591
June,2016,Private service-providing,19707
June,2017,Private service-providing,20049
June,2018,Private service-providing,20695
June,2019,Private service-providing,21055
June,2020,Private service-providing,19767
June,2021,Private service-providing,20377
Mar,2011,Private service-providing,17906
Mar,2012,Private service-providing,18372
Mar,2013,Private service-providing,18660
Mar,2014,Private service-providing,19037
Mar,2015,Private service-providing,19505
Mar,2016,Private service-providing,19711
Mar,2017,Private service-providing,19959
Mar,2018,Private service-providing,20527
Mar,2019,Private service-providing,21005
Mar,2020,Private service-providing,20949
Mar,2021,Private service-providing,20360
May,2011,Private service-providing,18007
May,2012,Private service-providing,18386
May,2013,Private service-providing,18691
May,2014,Private service-providing,19142
May,2015,Private service-providing,19580
May,2016,Private service-providing,19687
May,2017,Private service-providing,20005
May,2018,Private service-providing,20644
May,2019,Private service-providing,21033
May,2020,Private service-providing,19262
May,2021,Private service-providing,20335
Nov,2011,Private service-providing,18187
Nov,2012,Private service-providing,18477
Nov,2013,Private service-providing,18911
Nov,2014,Private service-providing,19456
Nov,2015,Private service-providing,19711
Nov,2016,Private service-providing,19812
Nov,2017,Private service-providing,20274
Nov,2018,Private service-providing,20901
Nov,2019,Private service-providing,21071
Nov,2020,Private service-providing,20146
Oct,2011,Private service-providing,18188
Oct,2012,Private service-providing,18472
Oct,2013,Private service-providing,18857
Oct,2014,Private service-providing,19419
Oct,2015,Private service-providing,19680
Oct,2016,Private service-providing,19788
Oct,2017,Private service-providing,20207
Oct,2018,Private service-providing,20885
Oct,2019,Private service-providing,21032
Oct,2020,Private service-providing,20078
